version,classpath,LOC,LOC_TOUCHED,REVS,FIXES,AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE,WEIGHTED_AGE,COMMENT_LINES,NESTING_DEPTH,DECISION_POINTS,nsmells,DISTINCT_SMELL_TYPES,BUGGY
"1.2.0","src/java/org/apache/avro/ipc/ByteBufferOutputStream.java",55,0,0,0,0,0,0,0.000000,0,0,0.000000,304,110,60.800000,396,391.553114,25,1,4,"3",2,"NO"
"1.2.0","src/java/org/apache/avro/ipc/ByteBufferInputStream.java",50,0,0,0,0,0,0,0.000000,0,0,0.000000,311,110,44.428571,396,394.080460,30,2,7,"6",2,"NO"
"1.2.0","src/java/org/apache/avro/ipc/AvroRemoteException.java",15,0,0,0,0,0,0,0.000000,0,0,0.000000,311,110,62.200000,396,393.445255,18,1,1,"1",1,"NO"
"1.2.0","src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java",84,0,0,0,0,0,0,0.000000,0,0,0.000000,96,65,32.000000,292,291.574468,43,4,18,"6",5,"YES"
"1.2.0","src/java/org/apache/avro/io/parsing/Symbol.java",254,1,1,1,1,0,0,0.000000,1,1,1.000000,95,65,31.666667,292,291.817708,80,3,8,"13",4,"YES"
"1.2.0","src/java/org/apache/avro/io/parsing/SkipParser.java",43,0,0,0,0,0,0,0.000000,0,0,0.000000,88,65,44.000000,292,291.696970,43,3,3,"1",1,"YES"
"1.2.0","src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java",246,0,0,0,0,0,0,0.000000,0,0,0.000000,96,65,32.000000,292,291.823529,67,5,63,"20",6,"YES"
"1.2.0","src/java/org/apache/avro/io/parsing/Parser.java",86,21,1,1,1,21,21,21.000000,21,21,21.000000,95,65,31.666667,292,283.917647,67,4,11,"3",1,"YES"
"1.2.0","src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java",60,3,1,1,1,1,1,1.000000,1,1,1.000000,95,65,31.666667,292,290.132075,35,4,16,"4",1,"YES"
"1.2.0","src/java/org/apache/avro/io/ValidatingEncoder.java",149,0,0,0,0,0,0,0.000000,0,0,0.000000,104,65,34.666667,319,306.694915,25,1,2,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/io/ValidatingDecoder.java",179,0,0,0,0,0,0,0.000000,0,0,0.000000,104,65,34.666667,319,307.141066,21,2,10,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/io/ResolvingDecoder.java",112,0,0,0,0,0,0,0.000000,0,0,0.000000,104,65,34.666667,319,307.828947,78,6,19,"1",1,"YES"
"1.2.0","src/java/org/apache/avro/io/ParsingEncoder.java",36,0,0,0,0,0,0,0.000000,0,0,0.000000,90,65,30.000000,292,281.228571,24,1,3,"1",1,"NO"
"1.2.0","src/java/org/apache/avro/io/ParsingDecoder.java",47,0,0,0,0,0,0,0.000000,0,0,0.000000,88,65,44.000000,292,291.920000,19,12,13,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/io/JsonEncoder.java",189,4,1,1,1,1,1,1.000000,2,2,2.000000,103,65,25.750000,292,289.749035,21,3,13,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/io/JsonDecoder.java",343,0,0,0,0,0,0,0.000000,0,0,0.000000,96,65,32.000000,292,290.482679,18,5,38,"3",3,"YES"
"1.2.0","src/java/org/apache/avro/io/Encoder.java",36,0,0,0,0,0,0,0.000000,0,0,0.000000,343,110,49.000000,396,351.275456,212,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/io/Decoder.java",32,0,0,0,0,0,0,0.000000,0,0,0.000000,378,110,37.800000,396,353.364775,219,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/io/DatumWriter.java",7,0,0,0,0,0,0,0.000000,0,0,0.000000,334,110,55.666667,396,391.172414,23,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/io/DatumReader.java",7,0,0,0,0,0,0,0.000000,0,0,0.000000,269,110,53.800000,396,392.370968,24,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/io/BlockingBinaryEncoder.java",422,0,0,1,0,0,0,0.000000,0,0,0.000000,110,65,27.500000,339,337.730530,124,4,45,"20",5,"YES"
"1.2.0","src/java/org/apache/avro/io/BinaryEncoder.java",176,0,0,0,0,0,0,0.000000,0,0,0.000000,343,110,49.000000,396,350.897981,39,1,5,"22",3,"YES"
"1.2.0","src/java/org/apache/avro/io/BinaryDecoder.java",206,0,0,0,0,0,0,0.000000,0,0,0.000000,112,65,28.000000,321,320.279365,59,3,19,"3",3,"NO"
"1.2.0","src/java/org/apache/avro/io/BinaryData.java",156,0,0,0,0,0,0,0.000000,0,0,0.000000,35,25,11.666667,252,250.548649,32,6,40,"16",5,"NO"
"1.2.0","src/java/org/apache/avro/generic/GenericResponder.java",24,0,0,0,0,0,0,0.000000,0,0,0.000000,328,110,54.666667,396,390.947090,21,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/generic/GenericRequestor.java",30,0,0,0,0,0,0,0.000000,0,0,0.000000,354,110,50.571429,396,387.435644,18,0,0,"1",1,"NO"
"1.2.0","src/java/org/apache/avro/generic/GenericRecord.java",4,0,0,0,0,0,0,0.000000,0,0,0.000000,310,110,62.000000,396,381.617021,18,0,0,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/generic/GenericFixed.java",4,0,0,0,0,0,0,0.000000,0,0,0.000000,305,110,61.000000,396,388.489796,19,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/generic/GenericDatumWriter.java",122,0,0,1,0,0,0,0.000000,0,0,0.000000,399,110,33.250000,396,371.241337,45,2,17,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/generic/GenericDatumReader.java",344,7,1,1,1,5,5,5.000000,3,3,3.000000,508,110,25.400000,396,363.469595,91,5,95,"25",4,"YES"
"1.2.0","src/java/org/apache/avro/generic/GenericData.java",365,13,2,1,1,13,12,6.500000,13,12,6.500000,464,110,30.933333,396,366.018812,46,12,102,"67",10,"YES"
"1.2.0","src/java/org/apache/avro/generic/GenericContainer.java",5,0,0,0,0,0,0,0.000000,0,0,0.000000,310,110,62.000000,396,383.032258,19,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/generic/GenericArray.java",7,0,0,0,0,0,0,0.000000,0,0,0.000000,336,110,56.000000,396,391.982609,24,0,0,"0",0,"NO"
